source_path,file_type,mime_type,size_bytes,sha256,bucket,likely_project_role,status_label,recommended_destination,duplication_status,duplicate_group_size,migration_status,migrated_to
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/components/tabs/ThermodynamicsTab.tsx,tsx,unknown,5121,e4057cb2c2199becd309f040ae4eb2dc4875682d36ed65b6da0d1340a09bb95a,app/tooling,app_source,exact+exploratory,app/sds-workbench/src/components/tabs/ThermodynamicsTab.tsx,unique,1,copied,app/sds-workbench/src/components/tabs/ThermodynamicsTab.tsx
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/components/ui/CopyButton.tsx,tsx,unknown,529,4514d925e3fe12b9363e401f2edd2804f3d7f7931b3351de5126941a15c23a13,app/tooling,app_source,exact+exploratory,app/sds-workbench/src/components/ui/CopyButton.tsx,unique,1,copied,app/sds-workbench/src/components/ui/CopyButton.tsx
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/components/visuals/EisensteinArc.tsx,tsx,unknown,4014,b3f4d19a2847e830d7e89cc5e575fe0c5b98f5120fa81c3f1c6e5fdc83a5fd3f,app/tooling,app_source,exact+exploratory,app/sds-workbench/src/components/visuals/EisensteinArc.tsx,unique,1,copied,app/sds-workbench/src/components/visuals/EisensteinArc.tsx
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/components/visuals/EntropyBudget.tsx,tsx,unknown,2833,a9887ea6e23fa350d6f036e4e1c6d7ff55bfbfff74ab5af6038be5280463e802,app/tooling,app_source,exact+exploratory,app/sds-workbench/src/components/visuals/EntropyBudget.tsx,unique,1,copied,app/sds-workbench/src/components/visuals/EntropyBudget.tsx
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/components/visuals/RadialDiagram.tsx,tsx,unknown,3709,d17fe5fff81b5c88ac8c984e3f3697c5b30381ce3199e15fe7cdfaaaf8f955f0,app/tooling,app_source,exact+exploratory,app/sds-workbench/src/components/visuals/RadialDiagram.tsx,unique,1,copied,app/sds-workbench/src/components/visuals/RadialDiagram.tsx
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/components/visuals/ValidationPanel.tsx,tsx,unknown,1904,1b2744315ceb622f5ec59d474cf07ddbe4c933da34366ef8a53e7483141ff6ba,app/tooling,app_source,exact+exploratory,app/sds-workbench/src/components/visuals/ValidationPanel.tsx,unique,1,copied,app/sds-workbench/src/components/visuals/ValidationPanel.tsx
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/engine/format.ts,ts,video/mp2t,617,3351cec9c0a97558c282fc2e664d41ede0ca68db94c6d1f5ad91e1b95f9015d2,app/tooling,app_source,exact+exploratory,app/sds-workbench/src/engine/format.ts,unique,1,copied,app/sds-workbench/src/engine/format.ts
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/engine/physics.ts,ts,video/mp2t,2798,995c7ea1c943e9c35ce9e3dc5e668a0f412f3d664be89318439c82a23f5b1f39,app/tooling,app_source,exact+exploratory,app/sds-workbench/src/engine/physics.ts,unique,1,copied,app/sds-workbench/src/engine/physics.ts
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/engine/types.ts,ts,video/mp2t,726,35b854f630ac43f184273d93d042d81fbe94ce8009b700f28655e6c7a1ca580e,app/tooling,app_source,exact+exploratory,app/sds-workbench/src/engine/types.ts,unique,1,copied,app/sds-workbench/src/engine/types.ts
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/main.tsx,tsx,unknown,208,7cebd522a7d09b9d8c2d1b1c20a198648f9a0ccf72ece35ea697c7022125fb03,app/tooling,app_source,exact+exploratory,app/sds-workbench/src/main.tsx,unique,1,copied,app/sds-workbench/src/main.tsx
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/store/appStore.ts,ts,video/mp2t,3648,26727096aebbcd25c37b2dd8e453242fa00774d655aa344520f6a9d0d89d4898,app/tooling,app_source,exact+exploratory,app/sds-workbench/src/store/appStore.ts,unique,1,copied,app/sds-workbench/src/store/appStore.ts
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/styles/globals.css,css,text/css,8306,c74a9e769b11532ba92ad189055b5fba3ab2e2880892d936629e87d373a48b6d,app/tooling,app_source,exact+exploratory,app/sds-workbench/src/styles/globals.css,unique,1,copied,app/sds-workbench/src/styles/globals.css
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/styles/tokens.css,css,text/css,1095,58848d3685a905afa27077e7c3ca0364d4eda96f2511785417f9a06a36ae2b10,app/tooling,app_source,exact+exploratory,app/sds-workbench/src/styles/tokens.css,unique,1,copied,app/sds-workbench/src/styles/tokens.css
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/utils/export.ts,ts,video/mp2t,2588,597c043d0cefc13e33de7a5080f28172acbbfe052089d5c25c1cf38aa3fff90f,app/tooling,app_source,exact+exploratory,app/sds-workbench/src/utils/export.ts,unique,1,copied,app/sds-workbench/src/utils/export.ts
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/utils/storage.ts,ts,video/mp2t,1137,8d7032a115a1d10afa20e6aaa1705b8deea10ac38c7397188ef3bc2c58f5c2eb,app/tooling,app_source,exact+exploratory,app/sds-workbench/src/utils/storage.ts,unique,1,copied,app/sds-workbench/src/utils/storage.ts
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/utils/url.ts,ts,video/mp2t,1151,1381d34269e43e6a6761c546ea5c06248cf0def6cbafca0bfb874a45b213439c,app/tooling,app_source,exact+exploratory,app/sds-workbench/src/utils/url.ts,unique,1,copied,app/sds-workbench/src/utils/url.ts
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/tsconfig.json,json,application/json,553,6f22b9cab33bc1229808ad6dcf7e629256f2f7c925fbae1a64974301878a4e8a,app/tooling,app_project_meta,exact+exploratory,app/sds-workbench/tsconfig.json,unique,1,copied,app/sds-workbench/tsconfig.json
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/vite.config.ts,ts,video/mp2t,249,e52aae5c62cc64ad62da34a553a9816751671ad651566aa7257a608a695538be,app/tooling,app_project_meta,exact+exploratory,app/sds-workbench/vite.config.ts,unique,1,copied,app/sds-workbench/vite.config.ts
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/vite.config.ts.timestamp-1775791135464-d0262703c3f5f.mjs,mjs,text/javascript,1805,9609130d60a82ada0ec4e92dd45e8ab0787e1a9b949473430bc0061c20b08f1d,app/tooling,app_project_meta,exact+exploratory,app/sds-workbench/vite.config.ts.timestamp-1775791135464-d0262703c3f5f.mjs,duplicate_exact,3,copied,app/sds-workbench/vite.config.ts.timestamp-1775791135464-d0262703c3f5f.mjs
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/vite.config.ts.timestamp-1775791143759-5b8ce8ca688d9.mjs,mjs,text/javascript,1805,9609130d60a82ada0ec4e92dd45e8ab0787e1a9b949473430bc0061c20b08f1d,app/tooling,app_project_meta,exact+exploratory,app/sds-workbench/vite.config.ts.timestamp-1775791143759-5b8ce8ca688d9.mjs,duplicate_exact,3,copied,app/sds-workbench/vite.config.ts.timestamp-1775791143759-5b8ce8ca688d9.mjs
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/vite.config.ts.timestamp-1775791369455-2a8491c52c621.mjs,mjs,text/javascript,1805,9609130d60a82ada0ec4e92dd45e8ab0787e1a9b949473430bc0061c20b08f1d,app/tooling,app_project_meta,exact+exploratory,app/sds-workbench/vite.config.ts.timestamp-1775791369455-2a8491c52c621.mjs,duplicate_exact,3,copied,app/sds-workbench/vite.config.ts.timestamp-1775791369455-2a8491c52c621.mjs
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/dist/assets/index-B6ifsj3z.css,css,text/css,8022,b04eeb19cd6f1046215bdd853637d4e7015ac3de3ee745a68ee54adc5171249e,app/tooling,built_artifact,artifact,archive/deprecated/app-dist/dist/assets/index-B6ifsj3z.css,unique,1,copied,archive/deprecated/app-dist/dist/assets/index-B6ifsj3z.css
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/dist/assets/index-DFQSWpEJ.js,js,text/javascript,187041,da731cc41de868fbb1418b43a8c99bd2f347ffb16a79245dae7c0bb7b31ee722,app/tooling,built_artifact,artifact,archive/deprecated/app-dist/dist/assets/index-DFQSWpEJ.js,unique,1,copied,archive/deprecated/app-dist/dist/assets/index-DFQSWpEJ.js
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/dist/index.html,html,text/html,571,7533b0fc7ca677a5580cc0d87c1f8197c947aae388c437fc76239101ea2f05da,app/tooling,built_artifact,artifact,archive/deprecated/app-dist/dist/index.html,unique,1,copied,archive/deprecated/app-dist/dist/index.html
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-explorer-repo/.gitignore,none,unknown,32,3cba95ec641abb6edd21b1680aaae099810a6b697f6dfd457fbe6dbff489943e,app/tooling,legacy_app_variant,artifact,archive/deprecated/sds-explorer-repo/.gitignore,unique,1,copied,archive/deprecated/sds-explorer-repo/.gitignore
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-explorer-repo/IMPLEMENTATION_NOTES.md,md,text/markdown,3452,5b7b66f3df5f5398190af41a4dc4d040d6ca2c27ad225a4cf3455a73a37e5e29,app/tooling,legacy_app_variant,artifact,archive/deprecated/sds-explorer-repo/IMPLEMENTATION_NOTES.md,duplicate_exact,2,copied,archive/deprecated/sds-explorer-repo/IMPLEMENTATION_NOTES.md
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-explorer-repo/README.md,md,text/markdown,3294,5bf768ac67f1319a9970fc852a7dfdfd4854796f17eb405e6ce6db3b76890593,app/tooling,legacy_app_variant,artifact,archive/deprecated/sds-explorer-repo/README.md,duplicate_exact,2,copied,archive/deprecated/sds-explorer-repo/README.md
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-explorer-repo/ROADMAP.md,md,text/markdown,3600,424d027da5e54acd5a62c4a31f5ae5f30013a3b6f77eab1654eb1d23840cf848,app/tooling,legacy_app_variant,artifact,archive/deprecated/sds-explorer-repo/ROADMAP.md,duplicate_exact,2,copied,archive/deprecated/sds-explorer-repo/ROADMAP.md
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-explorer-repo/index.html,html,text/html,65716,9fcffdf72c3b77a9a84d1179798de25a2a252098443bae19a2418429861157ac,app/tooling,legacy_app_variant,artifact,archive/deprecated/sds-explorer-repo/index.html,duplicate_exact,2,copied,archive/deprecated/sds-explorer-repo/index.html
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-explorer-IMPLEMENTATION_NOTES.md,md,text/markdown,3452,5b7b66f3df5f5398190af41a4dc4d040d6ca2c27ad225a4cf3455a73a37e5e29,app/tooling,legacy_single_file_app,artifact,archive/deprecated/sds-explorer/sds-explorer-IMPLEMENTATION_NOTES.md,duplicate_exact,2,copied,archive/deprecated/sds-explorer/sds-explorer-IMPLEMENTATION_NOTES.md
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-explorer-README.md,md,text/markdown,3294,5bf768ac67f1319a9970fc852a7dfdfd4854796f17eb405e6ce6db3b76890593,app/tooling,legacy_single_file_app,artifact,archive/deprecated/sds-explorer/sds-explorer-README.md,duplicate_exact,2,copied,archive/deprecated/sds-explorer/sds-explorer-README.md
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-explorer-ROADMAP.md,md,text/markdown,3600,424d027da5e54acd5a62c4a31f5ae5f30013a3b6f77eab1654eb1d23840cf848,app/tooling,legacy_single_file_app,artifact,archive/deprecated/sds-explorer/sds-explorer-ROADMAP.md,duplicate_exact,2,copied,archive/deprecated/sds-explorer/sds-explorer-ROADMAP.md
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-explorer.html,html,text/html,65716,9fcffdf72c3b77a9a84d1179798de25a2a252098443bae19a2418429861157ac,app/tooling,legacy_single_file_app,artifact,archive/deprecated/sds-explorer/sds-explorer.html,duplicate_exact,2,copied,archive/deprecated/sds-explorer/sds-explorer.html
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/App.js,js,text/javascript,1797,bfa300ec5766340c803d4debec005591679577d8fb601859babaa0bb31b9e53b,app/tooling,app_source,artifact,archive/deprecated/sds-workbench-js-mirror/App.js,unique,1,copied,archive/deprecated/sds-workbench-js-mirror/App.js
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/components/layout/Sidebar.js,js,text/javascript,11528,e8919e5058a31c06dda9c47701338a930fe8bb64fc5efb6aae3aafb557d6df20,app/tooling,app_source,artifact,archive/deprecated/sds-workbench-js-mirror/components/layout/Sidebar.js,unique,1,copied,archive/deprecated/sds-workbench-js-mirror/components/layout/Sidebar.js
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/components/layout/TopBar.js,js,text/javascript,2100,cfb0bd30fd3b55416bef6b27e88ad2d4e5b370a4afe250b23fa942f9b535d947,app/tooling,app_source,artifact,archive/deprecated/sds-workbench-js-mirror/components/layout/TopBar.js,unique,1,copied,archive/deprecated/sds-workbench-js-mirror/components/layout/TopBar.js
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/components/tabs/CompareTab.js,js,text/javascript,5551,12803b5cf4ca4f327cbaeddb46ac64e5a30414d09c74212fdcebc056789126a9,app/tooling,app_source,artifact,archive/deprecated/sds-workbench-js-mirror/components/tabs/CompareTab.js,unique,1,copied,archive/deprecated/sds-workbench-js-mirror/components/tabs/CompareTab.js
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/components/tabs/ExploreTab.js,js,text/javascript,3842,cb4684a99fced86fdcf7088f2e1039289e573292a0008f09afe40e4344297990,app/tooling,app_source,artifact,archive/deprecated/sds-workbench-js-mirror/components/tabs/ExploreTab.js,unique,1,copied,archive/deprecated/sds-workbench-js-mirror/components/tabs/ExploreTab.js
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/components/tabs/ExportTab.js,js,text/javascript,4054,1a152640aafbcd891197fdf17357357318f37a1559231e176649389197830967,app/tooling,app_source,artifact,archive/deprecated/sds-workbench-js-mirror/components/tabs/ExportTab.js,unique,1,copied,archive/deprecated/sds-workbench-js-mirror/components/tabs/ExportTab.js
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/components/tabs/GeometryTab.js,js,text/javascript,4317,83675123a85885ad4a3887870ab01271cba73e212f386172ef9ffd06ac02eea5,app/tooling,app_source,artifact,archive/deprecated/sds-workbench-js-mirror/components/tabs/GeometryTab.js,unique,1,copied,archive/deprecated/sds-workbench-js-mirror/components/tabs/GeometryTab.js
/Users/stevenreid/Library/Application Support/Claude/local-agent-mode-sessions/e19b2fa8-926d-43d7-b606-382e730a4423/89e6069e-a4d4-49b9-a436-f538793c3944/local_f4bdd818-09b7-4abb-b833-c3553bc67103/outputs/sds-workbench/src/components/tabs/ThermodynamicsTab.js,js,text/javascript,5180,395562e18e82b6d31a77fbf9e7efa30972dc2a9bd5808e89eac24b1f8415a1ed,app/tooling,app_source,artifact,archive/deprecated/sds-workbench-js-mirror/components/tabs/ThermodynamicsTab.js,unique,1,copied,archive/deprecated/sds-workbench-js-mirror/components/tabs/ThermodynamicsTab.js
